iso2,variable,year,country,value,type
DE,BEG,1999,Deutschland,75.4241905892249,Gesamtwirtschaft
DE,BEG,2000,Deutschland,76.6440956305879,Gesamtwirtschaft
DE,BEG,2001,Deutschland,78.1118451021427,Gesamtwirtschaft
DE,BEG,2002,Deutschland,79.1494501877816,Gesamtwirtschaft
DE,BEG,2003,Deutschland,80.671814795718,Gesamtwirtschaft
DE,BEG,2004,Deutschland,81.0200120065296,Gesamtwirtschaft
DE,BEG,2005,Deutschland,81.2359144084983,Gesamtwirtschaft
DE,BEG,2006,Deutschland,82.2160932787278,Gesamtwirtschaft
DE,BEG,2007,Deutschland,83.0297729939306,Gesamtwirtschaft
DE,BEG,2008,Deutschland,84.9378329022754,Gesamtwirtschaft
DE,BEG,2009,Deutschland,85.3207659711911,Gesamtwirtschaft
DE,BEG,2010,Deutschland,87.4669040844737,Gesamtwirtschaft
DE,BEG,2011,Deutschland,90.0816541041307,Gesamtwirtschaft
DE,BEG,2012,Deutschland,92.4660557174385,Gesamtwirtschaft
DE,BEG,2013,Deutschland,94.3729343077944,Gesamtwirtschaft
DE,BEG,2014,Deutschland,97.1887807858461,Gesamtwirtschaft
DE,BEG,2015,Deutschland,100,Gesamtwirtschaft
DE,BEG,2016,Deutschland,102.382896266662,Gesamtwirtschaft
DE,BEG,2017,Deutschland,105.219706820068,Gesamtwirtschaft
DE,BEG,2018,Deutschland,108.535037326113,Gesamtwirtschaft
